AppName,RelPath,File,SourceCategory,SourceKind,LineStart,LineEnd,Func,RawSql,SqlClean,UsageKind,IsWrite,HasCrossDb,DbList,ObjectCount,IsDynamic,ConnName,ConnDb,QueryHash,RiskLevel,DefinedInRelPath,DefinedInLine
golang-sample,go1/destination.go,destination.go,code,go,15,15,UpdateControlTableResikoPasar,"EXEC [dbo].[UpdateControlTableResikoPasar] ?,?","EXEC [dbo].[UpdateControlTableResikoPasar] ?,?",EXEC,true,false,,2,false,db,,bf6f164aa3e86951b93fd0b17ebc8dbff98ebd0b,MEDIUM,go1/golang/go1/sp.go,3
golang-sample,go1/destination.go,destination.go,code,go,25,25,GetOboxPreviousWorkingDate,select * from OBOXGetPrevDate_v,select * from OBOXGetPrevDate_v,SELECT,false,false,,1,false,db,,2b670ce0899d69a442ab570b63ab71cd8d786174,LOW,go1/golang/go1/query.go,3
golang-sample,go1/destination.go,destination.go,code,go,41,41,DeleteDuplicateConfo,<dynamic-sql>,<dynamic-sql>,UNKNOWN,false,false,,0,true,db,,829e30d2ed137a41defc3a465e6c3746bc753ccf,LOW,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,58,58,ExecuteSPMurexTConfo,<dynamic-sql>,<dynamic-sql>,UNKNOWN,false,false,,0,true,db,,829e30d2ed137a41defc3a465e6c3746bc753ccf,LOW,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,68,68,GetNamaSSB,"
declare @dtToday varchar(8)
set @dtToday = convert(varchar(8), getdate(), 112)
select
isnull(CAST(
 STUFF((SELECT DISTINCT ',' + ('''' + CAST(NamaSSB AS VARCHAR(500)) + '''')
 FROM mk006_a
   WHERE convert(varchar(8), ProcessDate, 112) = @dtToday
   GROUP BY NamaSSB
   FOR XML PATH (''))
   , 1, 1, '') AS VARCHAR(8000)), '''''')  AS secid
","declare @dtToday varchar(8)
set @dtToday = convert(varchar(8), getdate(), 112)
select
isnull(CAST(
 STUFF((SELECT DISTINCT ',' + ('''' + CAST(NamaSSB AS VARCHAR(500)) + '''')
 FROM mk006_a
   WHERE convert(varchar(8), ProcessDate, 112) = @dtToday
   GROUP BY NamaSSB
   FOR XML PATH (''))
   , 1, 1, '') AS VARCHAR(8000)), '''''')  AS secid",SELECT,false,false,,1,false,db,,5d86ef43abc26b943749f6859c9f9a67e7b3d938,LOW,go1/golang/go1/query.go,137
golang-sample,go1/destination.go,destination.go,code,go,78,78,DeleteAvgPrice,"
declare @dtToday varchar(8)
set @dtToday = convert(varchar(8),  getdate(), 112)
delete mk006_a_actuate
where convert(varchar(8), ProcessDate, 112) = @dtToday
","declare @dtToday varchar(8)
set @dtToday = convert(varchar(8),  getdate(), 112)
delete mk006_a_actuate
where convert(varchar(8), ProcessDate, 112) = @dtToday",DELETE,true,false,,1,false,db,,ddae4ff638f42a0c77ee8b075c20298c26048350,MEDIUM,go1/golang/go1/query.go,150
golang-sample,go1/destination.go,destination.go,code,go,94,94,UpdateTableMK,EXEC [[dynamic-proc]],EXEC [[dynamic-proc]],EXEC,true,false,,1,true,db,,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,HIGH,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,115,115,ExecSPMK,EXEC [[dynamic-proc]],EXEC [[dynamic-proc]],EXEC,true,false,,1,true,db,,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,HIGH,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,129,129,GetFlatFileData,EXEC [[dynamic-proc]],EXEC [[dynamic-proc]],EXEC,true,false,,1,true,db,,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,HIGH,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,137,137,GetFlatFileData,EXEC [[dynamic-proc]],EXEC [[dynamic-proc]],EXEC,true,false,,1,true,db,,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,HIGH,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,151,151,GetFlatFileData,EXEC [[dynamic-proc]],EXEC [[dynamic-proc]],EXEC,true,false,,1,true,db,,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,HIGH,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,179,179,GetFlatFileUnstructuredData,EXEC [[dynamic-proc]],EXEC [[dynamic-proc]],EXEC,true,false,,1,true,db,,651c5bb288d62e8ad7b7fccb0467d154c0767ee3,HIGH,go1/destination.go,0
golang-sample,go1/destination.go,destination.go,code,go,191,191,GetTableRetry,select process_type from dbo.control_table_resiko_pasar where success_bit = 0 ,select process_type from dbo.control_table_resiko_pasar where success_bit = 0,SELECT,false,false,,1,false,db,,71a7af3e8ce7fd6589c0bf8df83982f2d4c694f4,LOW,go1/destination.go,190
golang-sample,go1/destination.go,destination.go,code,go,208,208,DeleteDuplicateDataMK,<dynamic-sql>,<dynamic-sql>,UNKNOWN,false,false,,0,true,db,,829e30d2ed137a41defc3a465e6c3746bc753ccf,LOW,go1/destination.go,0
golang-sample,go1/query.go,query.go,code,go,3,3,,select * from OBOXGetPrevDate_v,select * from OBOXGetPrevDate_v,SELECT,false,false,,1,false,,,2b670ce0899d69a442ab570b63ab71cd8d786174,LOW,go1/query.go,3
golang-sample,go1/query.go,query.go,code,go,5,5,,"DELETE FROM confomk005_a 
WHERE convert(varchar(8), ProcessDate, 112) >= convert(varchar(8), getdate(), 112)","DELETE FROM confomk005_a 
WHERE convert(varchar(8), ProcessDate, 112) >= convert(varchar(8), getdate(), 112)",DELETE,true,false,,2,false,,,04045bf8ecb0bab0e865d4b28e0b6af8411a7b60,MEDIUM,go1/query.go,5
golang-sample,go1/query.go,query.go,code,go,7,7,,"DELETE FROM confomk006_a 
WHERE convert(varchar(8), ProcessDate, 112) >= convert(varchar(8), getdate(), 112)","DELETE FROM confomk006_a 
WHERE convert(varchar(8), ProcessDate, 112) >= convert(varchar(8), getdate(), 112)",DELETE,true,false,,2,false,,,20f7ae043f59da4d3a7c4e67b50df022253776ba,MEDIUM,go1/query.go,7
golang-sample,go1/query.go,query.go,code,go,10,10,,"
select CFN1,CA1
,CA2,CA3,CA4,DEALNO,PS_1
,SECID,ISSUER,DEALDATE,SETTDATE
,IPAYDATE,MDATE,COUPRATE_8,CCY
,QTY,PRICE_8,YIELD_8,COSTAMT
,PURCHINTAMT,BROKFEECCY,VATAMT
,WHTAMT,SETTCCY,SETTAMT,C1_1
,C2_1,ST1,ST2,ST3,ST4,C1_2,C2_2
,BIC,SD,DESCR,BROKFEEAMT
,M_BANK,CONTRACT,X_M_NB
    from [[schema]].mk006a_confo ","select CFN1,CA1
,CA2,CA3,CA4,DEALNO,PS_1
,SECID,ISSUER,DEALDATE,SETTDATE
,IPAYDATE,MDATE,COUPRATE_8,CCY
,QTY,PRICE_8,YIELD_8,COSTAMT
,PURCHINTAMT,BROKFEECCY,VATAMT
,WHTAMT,SETTCCY,SETTAMT,C1_1
,C2_1,ST1,ST2,ST3,ST4,C1_2,C2_2
,BIC,SD,DESCR,BROKFEEAMT
,M_BANK,CONTRACT,X_M_NB
    from [[schema]].mk006a_confo",SELECT,false,false,,1,true,,,8717d331471ce71d63d2557ed7c6eb41d1738832,LOW,go1/query.go,10
golang-sample,go1/query.go,query.go,code,go,22,22,,"
SELECT CFN1,CA1,CA2,CA3,CA4
,DEALNO,PS_1,SECID,DESCR,ISSUER
,DEALDATE,SETTDATE,IPAYDATE,MDATE,COUPRATE_8
,CCY,QTY,PRICE_8,YIELD_8,COSTAMT
,PURCHINTAMT,BROKFEECCY,BROKFEEAMT,VATAMT,WHTAMT
,SETTCCY,SETTAMT,C1_1,C2_1,ST1
,ST2,ST3,ST4,C1_2,C2_2
,BIC,SD,M_BANK,CONTRACT,X_M_NB 
FROM [[schema]].MK005A_CONFO","SELECT CFN1,CA1,CA2,CA3,CA4
,DEALNO,PS_1,SECID,DESCR,ISSUER
,DEALDATE,SETTDATE,IPAYDATE,MDATE,COUPRATE_8
,CCY,QTY,PRICE_8,YIELD_8,COSTAMT
,PURCHINTAMT,BROKFEECCY,BROKFEEAMT,VATAMT,WHTAMT
,SETTCCY,SETTAMT,C1_1,C2_1,ST1
,ST2,ST3,ST4,C1_2,C2_2
,BIC,SD,M_BANK,CONTRACT,X_M_NB 
FROM [[schema]].MK005A_CONFO",SELECT,false,false,,1,true,,,20aee50cc7753e486e9e1768204f61789b0c97da,LOW,go1/query.go,22
golang-sample,go1/query.go,query.go,code,go,33,33,,"
INSERT INTO SQL_REPLICATE.dbo.confomk006_a (
CFN1,CA1,CA2,CA3,CA4,
DEALNO,PS_1,SECID,ISSUER,DEALDATE,
SETTDATE,IPAYDATE,MDATE,COUPRATE_8,CCY
,QTY,PRICE_8,YIELD_8,COSTAMT,PURCHINTAMT,
BROKFEECCY,VATAMT,WHTAMT,SETTCCY,SETTAMT,
C1_1,C2_1,ST1,ST2,ST3,
ST4,C1_2,C2_2,BIC,SD,
ProcessDate,DESCR,BROKFEEAMT,M_BANK,CONTRACT,
X_M_NB )
values (:CFN1,:CA1,:CA2,:CA3,:CA4,
:DEALNO,:PS_1,:SECID,:ISSUER,:DEALDATE,
:SETTDATE,:IPAYDATE,:MDATE,:COUPRATE_8,:CCY
,:QTY,:PRICE_8,:YIELD_8,:COSTAMT,:PURCHINTAMT,
:BROKFEECCY,:VATAMT,:WHTAMT,:SETTCCY,:SETTAMT,
:C1_1,:C2_1,:ST1,:ST2,:ST3,
:ST4,:C1_2,:C2_2,:BIC,:SD,
:ProcessDate,:DESCR,:BROKFEEAMT,:M_BANK,:CONTRACT,
:X_M_NB )
","INSERT INTO SQL_REPLICATE.dbo.confomk006_a (
CFN1,CA1,CA2,CA3,CA4,
DEALNO,PS_1,SECID,ISSUER,DEALDATE,
SETTDATE,IPAYDATE,MDATE,COUPRATE_8,CCY
,QTY,PRICE_8,YIELD_8,COSTAMT,PURCHINTAMT,
BROKFEECCY,VATAMT,WHTAMT,SETTCCY,SETTAMT,
C1_1,C2_1,ST1,ST2,ST3,
ST4,C1_2,C2_2,BIC,SD,
ProcessDate,DESCR,BROKFEEAMT,M_BANK,CONTRACT,
X_M_NB )
values (:CFN1,:CA1,:CA2,:CA3,:CA4,
:DEALNO,:PS_1,:SECID,:ISSUER,:DEALDATE,
:SETTDATE,:IPAYDATE,:MDATE,:COUPRATE_8,:CCY
,:QTY,:PRICE_8,:YIELD_8,:COSTAMT,:PURCHINTAMT,
:BROKFEECCY,:VATAMT,:WHTAMT,:SETTCCY,:SETTAMT,
:C1_1,:C2_1,:ST1,:ST2,:ST3,
:ST4,:C1_2,:C2_2,:BIC,:SD,
:ProcessDate,:DESCR,:BROKFEEAMT,:M_BANK,:CONTRACT,
:X_M_NB )",INSERT,true,true,SQL_REPLICATE,1,false,,,eca0709c5951a280ef456c73127c6c2c93c9ee70,HIGH,go1/query.go,33
golang-sample,go1/query.go,query.go,code,go,55,55,,"
INSERT INTO SQL_REPLICATE.dbo.confomk005_a (
CFN1,CA1,CA2,CA3,CA4,
DEALNO,PS_1,SECID,ISSUER,DEALDATE,
SETTDATE,IPAYDATE,MDATE,COUPRATE_8,CCY
,QTY,PRICE_8,YIELD_8,COSTAMT,PURCHINTAMT,
BROKFEECCY,VATAMT,WHTAMT,SETTCCY,SETTAMT,
C1_1,C2_1,ST1,ST2,ST3,
ST4,C1_2,C2_2,BIC,SD,
ProcessDate,DESCR,BROKFEEAMT,M_BANK,CONTRACT,
X_M_NB )
values (:CFN1,:CA1,:CA2,:CA3,:CA4,
:DEALNO,:PS_1,:SECID,:ISSUER,:DEALDATE,
:SETTDATE,:IPAYDATE,:MDATE,:COUPRATE_8,:CCY
,:QTY,:PRICE_8,:YIELD_8,:COSTAMT,:PURCHINTAMT,
:BROKFEECCY,:VATAMT,:WHTAMT,:SETTCCY,:SETTAMT,
:C1_1,:C2_1,:ST1,:ST2,:ST3,
:ST4,:C1_2,:C2_2,:BIC,:SD,
:ProcessDate,:DESCR,:BROKFEEAMT,:M_BANK,:CONTRACT,
:X_M_NB )
","INSERT INTO SQL_REPLICATE.dbo.confomk005_a (
CFN1,CA1,CA2,CA3,CA4,
DEALNO,PS_1,SECID,ISSUER,DEALDATE,
SETTDATE,IPAYDATE,MDATE,COUPRATE_8,CCY
,QTY,PRICE_8,YIELD_8,COSTAMT,PURCHINTAMT,
BROKFEECCY,VATAMT,WHTAMT,SETTCCY,SETTAMT,
C1_1,C2_1,ST1,ST2,ST3,
ST4,C1_2,C2_2,BIC,SD,
ProcessDate,DESCR,BROKFEEAMT,M_BANK,CONTRACT,
X_M_NB )
values (:CFN1,:CA1,:CA2,:CA3,:CA4,
:DEALNO,:PS_1,:SECID,:ISSUER,:DEALDATE,
:SETTDATE,:IPAYDATE,:MDATE,:COUPRATE_8,:CCY
,:QTY,:PRICE_8,:YIELD_8,:COSTAMT,:PURCHINTAMT,
:BROKFEECCY,:VATAMT,:WHTAMT,:SETTCCY,:SETTAMT,
:C1_1,:C2_1,:ST1,:ST2,:ST3,
:ST4,:C1_2,:C2_2,:BIC,:SD,
:ProcessDate,:DESCR,:BROKFEEAMT,:M_BANK,:CONTRACT,
:X_M_NB )",INSERT,true,true,SQL_REPLICATE,1,false,,,7713fe8dae13c3944cf3992d190884b460d97a84,HIGH,go1/query.go,55
golang-sample,go1/query.go,query.go,code,go,77,77,,"delete from mk005_a 
where convert(varchar(8),ProcessDate, 112) = convert(varchar(8),getdate(), 112)","delete from mk005_a 
where convert(varchar(8),ProcessDate, 112) = convert(varchar(8),getdate(), 112)",DELETE,true,false,,2,false,,,879f4afcb1006b1bc7e8bbee8048307332323261,MEDIUM,go1/query.go,77
golang-sample,go1/query.go,query.go,code,go,79,79,,"delete from mk006_a 
where convert(varchar(8),ProcessDate, 112) = convert(varchar(8),getdate(), 112)","delete from mk006_a 
where convert(varchar(8),ProcessDate, 112) = convert(varchar(8),getdate(), 112)",DELETE,true,false,,2,false,,,35ac35ba5b29092d6277439b95af20442af92717,MEDIUM,go1/query.go,79
golang-sample,go1/query.go,query.go,code,go,82,82,,"
select DEALNO,BRANCHTRANSACTION  ,BRANCHCOMPLETION
,USERCOMPLETION ,STATUSDOKUMEN ,TRANSACTIONDATE
,FLAGDETAIL,KODEISIN,NAMASSB
,KATEGORIPENGUKURAN,NOMINAL,TANGGALPEMBELIAN
,JUMLAHPEMBELIAN,NAMAPEMBELI,GOLONGANPEMBELI
,MATAUANG,CIFNO,JUMLAHPENJUALAN
,CONTRACT,X_M_NB FROM [[schema]].MK006_A","select DEALNO,BRANCHTRANSACTION  ,BRANCHCOMPLETION
,USERCOMPLETION ,STATUSDOKUMEN ,TRANSACTIONDATE
,FLAGDETAIL,KODEISIN,NAMASSB
,KATEGORIPENGUKURAN,NOMINAL,TANGGALPEMBELIAN
,JUMLAHPEMBELIAN,NAMAPEMBELI,GOLONGANPEMBELI
,MATAUANG,CIFNO,JUMLAHPENJUALAN
,CONTRACT,X_M_NB FROM [[schema]].MK006_A",SELECT,false,false,,1,true,,,3066fe98cfba745aaa8d218d4d9709683503959a,LOW,go1/query.go,82
golang-sample,go1/query.go,query.go,code,go,91,91,,"
select DEALNO ,BRANCHTRANSACTION ,BRANCHCOMPLETION
,USERCOMPLETION ,STATUSDOKUMEN ,TRANSACTIONDATE
,FLAGDETAIL ,KODEISIN ,NAMASSB
,JENISSSB ,KATEGORIPENGUKURAN ,NOMINAL
,GOLONGANPIHAKLAWAN  ,GOLONGANPENERBIT ,PERINGKATPENERBITSSB
,LEMBAGAPEMERINGKAT    ,MATAUANG ,SUKUBUNGA
,DURASI   ,TANGGALJATUHTEMPO     ,JENISBUNGA
,CIFNO    ,JUMLAH   ,NAMAPENJUAL
,CONTRACT ,X_M_NB
FROM [[schema]].MK005_A","select DEALNO ,BRANCHTRANSACTION ,BRANCHCOMPLETION
,USERCOMPLETION ,STATUSDOKUMEN ,TRANSACTIONDATE
,FLAGDETAIL ,KODEISIN ,NAMASSB
,JENISSSB ,KATEGORIPENGUKURAN ,NOMINAL
,GOLONGANPIHAKLAWAN  ,GOLONGANPENERBIT ,PERINGKATPENERBITSSB
,LEMBAGAPEMERINGKAT    ,MATAUANG ,SUKUBUNGA
,DURASI   ,TANGGALJATUHTEMPO     ,JENISBUNGA
,CIFNO    ,JUMLAH   ,NAMAPENJUAL
,CONTRACT ,X_M_NB
FROM [[schema]].MK005_A",SELECT,false,false,,1,true,,,e5a6b58c40aeee2a5c37a31a98841e0121ff0621,LOW,go1/query.go,91
golang-sample,go1/query.go,query.go,code,go,103,103,,"
INSERT INTO SQL_REPLICATE.dbo.mk006_a (
DealNo,BranchTransaction,BranchCompletion
,UserCompletion,StatusDokumen,TransactionDate
,ProcessDate,FlagDetail,KodeISIN
,NamaSSB,KategoriPengukuran,Nominal
,TanggalPembelian,JumlahPembelian,JumlahPenjualan
,NamaPembeli,GolonganPembeli
,MataUang,CIFNo,CONTRACT,X_M_NB)
VALUES (:DealNo,:BranchTransaction,:BranchCompletion
,:UserCompletion,:StatusDokumen,:TransactionDate
,:ProcessDate,:FlagDetail,:KodeISIN
,:NamaSSB,:KategoriPengukuran,:Nominal
,:TanggalPembelian,:JumlahPembelian,:JumlahPenjualan
,:NamaPembeli,:GolonganPembeli
,:MataUang,:CIFNo,:CONTRACT,:X_M_NB)
","INSERT INTO SQL_REPLICATE.dbo.mk006_a (
DealNo,BranchTransaction,BranchCompletion
,UserCompletion,StatusDokumen,TransactionDate
,ProcessDate,FlagDetail,KodeISIN
,NamaSSB,KategoriPengukuran,Nominal
,TanggalPembelian,JumlahPembelian,JumlahPenjualan
,NamaPembeli,GolonganPembeli
,MataUang,CIFNo,CONTRACT,X_M_NB)
VALUES (:DealNo,:BranchTransaction,:BranchCompletion
,:UserCompletion,:StatusDokumen,:TransactionDate
,:ProcessDate,:FlagDetail,:KodeISIN
,:NamaSSB,:KategoriPengukuran,:Nominal
,:TanggalPembelian,:JumlahPembelian,:JumlahPenjualan
,:NamaPembeli,:GolonganPembeli
,:MataUang,:CIFNo,:CONTRACT,:X_M_NB)",INSERT,true,true,SQL_REPLICATE,1,false,,,a7bca9c05ae05d6d814d465ee4ca93275d591394,HIGH,go1/query.go,103
golang-sample,go1/query.go,query.go,code,go,121,121,,"
INSERT INTO SQL_REPLICATE.dbo.mk005_a (
DealNo,BranchTransaction,BranchCompletion,UserCompletion,StatusDokumen
,TransactionDate,ProcessDate,FlagDetail,KodeISIN,NamaSSB
,JenisSSB,KategoriPengukuran,Nominal,Jumlah,GolonganPihakLawan
,GolonganPenerbit,PeringkatPenerbitSSB,LembagaPemeringkat,MataUang,SukuBunga
,Durasi,TanggalJatuhTempo,JenisBunga,CIFNo,NamaPenjual
,CONTRACT,X_M_NB)
VALUES (:DealNo,:BranchTransaction,:BranchCompletion,:UserCompletion,:StatusDokumen
,:TransactionDate,:ProcessDate,:FlagDetail,:KodeISIN,:NamaSSB
,:JenisSSB,:KategoriPengukuran,:Nominal,:Jumlah,:GolonganPihakLawan
,:GolonganPenerbit,:PeringkatPenerbitSSB,:LembagaPemeringkat,:MataUang,:SukuBunga
,:Durasi,:TanggalJatuhTempo,:JenisBunga,:CIFNo,:NamaPenjual
,:CONTRACT,:X_M_NB)
","INSERT INTO SQL_REPLICATE.dbo.mk005_a (
DealNo,BranchTransaction,BranchCompletion,UserCompletion,StatusDokumen
,TransactionDate,ProcessDate,FlagDetail,KodeISIN,NamaSSB
,JenisSSB,KategoriPengukuran,Nominal,Jumlah,GolonganPihakLawan
,GolonganPenerbit,PeringkatPenerbitSSB,LembagaPemeringkat,MataUang,SukuBunga
,Durasi,TanggalJatuhTempo,JenisBunga,CIFNo,NamaPenjual
,CONTRACT,X_M_NB)
VALUES (:DealNo,:BranchTransaction,:BranchCompletion,:UserCompletion,:StatusDokumen
,:TransactionDate,:ProcessDate,:FlagDetail,:KodeISIN,:NamaSSB
,:JenisSSB,:KategoriPengukuran,:Nominal,:Jumlah,:GolonganPihakLawan
,:GolonganPenerbit,:PeringkatPenerbitSSB,:LembagaPemeringkat,:MataUang,:SukuBunga
,:Durasi,:TanggalJatuhTempo,:JenisBunga,:CIFNo,:NamaPenjual
,:CONTRACT,:X_M_NB)",INSERT,true,true,SQL_REPLICATE,1,false,,,51bb213368e285f6c4754eb9840303ff1b341598,HIGH,go1/query.go,121
golang-sample,go1/query.go,query.go,code,go,137,137,,"
declare @dtToday varchar(8)
set @dtToday = convert(varchar(8), getdate(), 112)
select
isnull(CAST(
 STUFF((SELECT DISTINCT ',' + ('''' + CAST(NamaSSB AS VARCHAR(500)) + '''')
 FROM mk006_a
   WHERE convert(varchar(8), ProcessDate, 112) = @dtToday
   GROUP BY NamaSSB
   FOR XML PATH (''))
   , 1, 1, '') AS VARCHAR(8000)), '''''')  AS secid
","declare @dtToday varchar(8)
set @dtToday = convert(varchar(8), getdate(), 112)
select
isnull(CAST(
 STUFF((SELECT DISTINCT ',' + ('''' + CAST(NamaSSB AS VARCHAR(500)) + '''')
 FROM mk006_a
   WHERE convert(varchar(8), ProcessDate, 112) = @dtToday
   GROUP BY NamaSSB
   FOR XML PATH (''))
   , 1, 1, '') AS VARCHAR(8000)), '''''')  AS secid",SELECT,false,false,,1,false,,,5d86ef43abc26b943749f6859c9f9a67e7b3d938,LOW,go1/query.go,137
golang-sample,go1/query.go,query.go,code,go,150,150,,"
declare @dtToday varchar(8)
set @dtToday = convert(varchar(8),  getdate(), 112)
delete mk006_a_actuate
where convert(varchar(8), ProcessDate, 112) = @dtToday
","declare @dtToday varchar(8)
set @dtToday = convert(varchar(8),  getdate(), 112)
delete mk006_a_actuate
where convert(varchar(8), ProcessDate, 112) = @dtToday",DELETE,true,false,,1,false,,,ddae4ff638f42a0c77ee8b075c20298c26048350,MEDIUM,go1/query.go,150
golang-sample,go1/query.go,query.go,code,go,157,157,,"
SELECT TRIM(SECID) as SECID, ABS(ROUND(SUM(BOOK_VALUE)/SUM(TDPRINTAMT), 17)) AS AVGPRICE
FROM [[schema]].BOND_JOURNAL a
where TRIM(SECID) IN ([[param]])
and TDPRINTAMT > 0
group by SECID
UNION
select TRIM(SECID) as SECID, ABS(ROUND(AVG(PRICE), 17)) AS AVGPRICE
from [[schema]].BOND_DETAIL where trim(SECID) not in (
select distinct trim(SECID) from [[schema]].BOND_JOURNAL where TDPRINTAMT > 0
)
and TRIM(SECID) IN ([[param]])
group by SECID
","SELECT TRIM(SECID) as SECID, ABS(ROUND(SUM(BOOK_VALUE)/SUM(TDPRINTAMT), 17)) AS AVGPRICE
FROM [[schema]].BOND_JOURNAL a
where TRIM(SECID) IN ([[param]])
and TDPRINTAMT > 0
group by SECID
UNION
select TRIM(SECID) as SECID, ABS(ROUND(AVG(PRICE), 17)) AS AVGPRICE
from [[schema]].BOND_DETAIL where trim(SECID) not in (
select distinct trim(SECID) from [[schema]].BOND_JOURNAL where TDPRINTAMT > 0
)
and TRIM(SECID) IN ([[param]])
group by SECID",SELECT,false,false,,1,true,,,58b836ac3e25feb6f7f2ff92f82b638a00effcfc,LOW,go1/query.go,157
golang-sample,go1/query.go,query.go,code,go,171,171,,"
INSERT INTO [dbo].[mk006_a_actuate] (secid,avg_price,ProcessDate)
SELECT ?,?,?
","INSERT INTO [dbo].[mk006_a_actuate] (secid,avg_price,ProcessDate)
SELECT ?,?,?",INSERT,true,false,,1,false,,,0f9eed78afc29b9ce10155287fe99a42e438fcaa,MEDIUM,go1/query.go,171
golang-sample,go1/source.go,source.go,code,go,24,24,ExecSPMurexMK,<dynamic-sql>,<dynamic-sql>,UNKNOWN,false,false,,0,true,db,,829e30d2ed137a41defc3a465e6c3746bc753ccf,LOW,go1/source.go,0
golang-sample,go1/source.go,source.go,code,go,41,41,ExecuteSPMurexConfoMK,<dynamic-sql>,<dynamic-sql>,UNKNOWN,false,false,,0,true,db,,829e30d2ed137a41defc3a465e6c3746bc753ccf,LOW,go1/source.go,0
